current_number	serpitem_value_1	serpitem_value_1_numbers	serpitemtext_value	serpitem_value_2	serpitem_value_2_numbers	city	district	street	house_num	address	serpitem_value_3	serpitem_value_3_numbers	serpitemprop_values_1	serpitem_flag	serpitem_flag_numbers	label_2	metres2	metres3	serpitem_number	serpitemprop_values_2	metres	levels	serpitem_value_5_numbers	agency	serpitemtext_description	link
			Нет фото	5 мин на транспорте	5	Москва	район Рязанский	ул. Михайлова	18К2	Москва, ул. Михайлова, 18К2	28 000 руб./мес.	28000	комиссия 40%; без залога	2-комнатная	2	на длительный срок	49 м	49	2	кухня 9 м 2; жилая 33 м 2	9; 2; 33; 2	2 этаж из 5	2; 5	Melissa-N	Сдается впервые отличная двухкомнатная квартира, после евроремонта, всё для проживания имеется, мебель и бытовая техника 2014 года. Рассмотрим строго славян до 5 человек. Звоните, подробности по телефону.	http://www.cian.ru/rent/flat/34097387/
			Нет фото	24 мин пешком	24	Москва	район Рязанский	ул. Маевок	5	Москва, ул. Маевок, 5	28 000 руб./мес.	28000	комиссия 50%; без залога	2-комнатная	2	на длительный срок	52 м	52	2	кухня 10 м 2; жилая 32 м 2	10; 2; 32; 2	6 этаж из 12	6; 12	ID:403413	Квартира после свежего косметического ремонта,вся мебель и бытовая в наличии,славян.	http://www.cian.ru/rent/flat/33735897/
1	из 4	4		5 мин на транспорте	5	Москва	район Рязанский	ул. Михайлова	2/6	Москва, ул. Михайлова, 2/6	29 000 руб./мес.	29000	комиссия 50%; залог	2-комнатная	2	на длительный срок	43 м	43	2	кухня 7 м 2; жилая 28 м 2	7; 2; 28; 2	5 этаж из 5	5; 5	частный маклер	Предложение для россиян славянской внешности. Дети приветствуются. Впервые сдается 2-х комнатная квартира. 43/28/7. Ст. м. Рязанский пр-т - 10 мин. транспортом. Лесопарк «Кусково», школа, детсад, торговые центры – всё рядом. Хорошие соседи. Чистый подъезд. Свежий косметический ремонт. Комнаты смежно-изолированные. Есть темная комната. Балкон не застеклен. Вся необходимая мебель. СУС. СМА, ТВ, холодильник. Чистая сантехника. Ждем приличных и платежеспособных.	http://www.cian.ru/rent/flat/34158202/
1	из 9	9		8 мин пешком	8	Москва	район Рязанский	Зеленодольская ул.	14К2	Москва, Зеленодольская ул., 14К2	30 000 руб./мес.	30000	комиссия 60%; залог	2-комнатная	2	на длительный срок	40 м	40	2	кухня 6 м 2; жилая 30 м 2	6; 2; 30; 2	3 этаж из 12	3; 12	ID:269715	АВАНС ДО 17 ЯНВАРЯ.БЕЗ ЗАЛОГА.Квартира чистая, светлая, теплая. Комнаты раздельные.Рассматриваем приличных и платежеспособных арендаторов. Киргизов не предлагать.Ключи на руках.	http://www.cian.ru/rent/flat/33445746/
1	из 14	14		10 мин пешком	10	Москва	район Рязанский	ул. Михайлова	45/9	Москва, ул. Михайлова, 45/9	30 000 руб./мес.	30000	комиссия 48%; залог	2-комнатная	2	на длительный срок	42 м	42	2	кухня 6 м 2; жилая 27 м 2	6; 2; 27; 2	1 этаж из 5	1; 5	ID:329135	Полное юридическое сопровождение сделки. Самая низкая комиссия. Сдается хорошая, двухкомнатная квартира в спокойном районе Москвы. Дом расположен в тихом месте, развитая инфраструктура. 10 минут пешком до станции метро Рязанский проспект. В 2016 году планируется открытие станция м. Окская в 300 м. от дома. Отличная социальная инфраструктура и хорошая транспортная развязка. Подъезд чистый, отремонтированный, рядом парк Кусково, нет проблем с парковкой. Очень зеленый и экологически благоприятный район. В квартире выполнен косметический ремонт. Комнаты: изолированы. Наличие всей необходимой мебели и бытовой техники обеспечит комфортное проживание. Из мебели: 2 дивана, маленький диванчик, шкафы, тумбочка под телевизор. Из техники: холодильник, стиральная машинка, телевизор. На кухне: гарнитур, стол, стулья. Санузел: совмещен. Напольное покрытие: линолеум. Окна: деревянные. Есть решетки. Все необходимое рядом: магазины, супермаркеты, аптеки, школы и дошкольные учреждения, остановки общественного транспорта. Рядом яркая детская площадка, в районе есть сад и школа. Прекрасное место для жизни. Рассмотрим приличных и платежеспособных. Кроме Азии. Можно с детишками. Можно с животными (по согласованию).	http://www.cian.ru/rent/flat/33802581/
1	из 10	10		10 мин пешком	10	Москва	район Рязанский	ул. Михайлова	45/9	Москва, ул. Михайлова, 45/9	30 000 руб./мес.	30000	комиссия 50%; залог	2-комнатная	2	на длительный срок	42 м	42	2	кухня 6 м 2; жилая 27 м 2	6; 2; 27; 2	1 этаж из 5	1; 5	Миэль. Офис на Красной Пресне	Сдается хорошая, двухкомнатная квартира в пешей доступности от метро Рязанский проспект . Район тихий, вся инфраструктура. В 2016 году планируется открытие станция м. Окская в 300 м. от дома. Хорошая транспортная развязка. Подъезд чистый, сделан ремонт , рядом парк Кусково, нет проблем с парковкой. Очень зеленый и экологически благоприятный район. В квартире косметический ремонт. Комнаты: изолированы. Вся мебель и бытовая техника . 2 дивана, маленький диванчик, шкафы , холодильник , стиральная машинка, телевизор. На кухне: гарнитур, стол, стулья. На окнах решетки Рядом: магазины, супермаркеты, аптеки, школы и дошкольные учреждения, остановки общественного транспорта. Славян . Можно с детьми. Можно с животными (по согласованию).	http://www.cian.ru/rent/flat/33846737/
1	из 9	9		15 мин пешком	15	Москва	район Кузьминки	ул. Федора Полетаева	36	Москва, ул. Федора Полетаева, 36	30 000 руб./мес.	30000	комиссия 50%; залог	2-комнатная	2	на длительный срок	54 м	54	2	кухня 8 м 2; жилая 32 м 2	8; 2; 32; 2	5 этаж из 9	5; 9	частный маклер	Владимир. Сдается 2-х комнатная квартира на длительный срок, ЗАЛОГ ВСЕГО 15 тыс. руб., 15 минут пешком от метро, хороший ремонт, застекленный балкон, на окнах стеклопакеты, комнаты смежные, метал. дверь, домофон, интернет. В одной комнате стенка, двухспальная кровать, комод, стол, кресло, телевизор. В другой комнате шкаф, кровать, комод с зеркалом. На кухне кухонный гарнитур, двухкамерный холодильник, стол, стулья. С/У раздельный, плитка до потолка, хорошая сантехника, стир. маш. автомат. Берут СЛАВЯН.	http://www.cian.ru/rent/flat/34265254/
1	из 6	6		15 мин на транспорте	15	Москва	район Рязанский	ул. Коновалова	5	Москва, ул. Коновалова, 5	30 000 руб./мес.	30000	комиссия 50%; залог	2-комнатная	2	на длительный срок	43 м	43	2	кухня 6 м 2	6; 2	5 этаж из 12	5; 12	Миэль	Лот 30156. Станция Чухлинка 10 мин.пешком. Еще 10 минут и вы в центре.Чистая квартира после косметики. Комнаты изолированные. Мебель старенькая, но добротная и крепкая. Бытовая техника. Длительный срок.	http://www.cian.ru/rent/flat/30502085/
1	из 7	7		13 мин пешком	13	Москва	район Рязанский	ул. Федора Полетаева	5К1	Москва, ул. Федора Полетаева, 5К1	30 000 руб./мес.	30000	комиссия 50%; залог	2-комнатная	2	на длительный срок	42 м	42	2	кухня 12 м 2; жилая 16 м 2	12; 2; 16; 2	2 этаж из 5	2; 5	КвадротеК	Чистая, уютная квартира. На кухне гарнитур, С\У совмещен, железная дверь, домофон. Квартира в пешей доступности от метро, благоустроенный зеленый район, много парковых зон. Адекватные и лояльные взрослые собственники. Объект сдается на длительный срок. Рассмотрим приличных, платежеспособных клиентов. Показ в удобное для вас время.	http://www.cian.ru/rent/flat/33494513/
1	из 8	8		9 мин пешком	9	Москва	район Рязанский	3-я Институтская ул.	4	Москва, 3-я Институтская ул., 4	30 000 руб./мес.	30000	комиссия 50%; без залога	2-комнатная	2	на длительный срок	40 м	40	2	кухня 7 м 2; жилая 28 м 2	7; 2; 28; 2	4 этаж из 5	4; 5	Мой Дом	СРОЧНО!!! СДАЕТСЯ КВАРТИРА В СПОКОЙНОМ РАЙОНЕ.Смежные комнаты.Стоят стеклопакеты. Из мебели: стенка, 2 кресла, софа.Возможна покупка дополнительного спального места(со стороны собственника). Бытовая техника: холодильник, СВЧ. Рассмотрим только СЛАВЯН. Срочно. Оперативный показ.	http://www.cian.ru/rent/flat/34058897/
			Нет фото	10 мин на транспорте	10	Москва	район Рязанский	ул. Михайлова	11	Москва, ул. Михайлова, 11	30 000 руб./мес.	30000	комиссия 50%; залог	2-комнатная	2	на длительный срок	42 м	42	2	кухня 6 м 2; жилая 25 м 2	6; 2; 25; 2	1 этаж из 5	1; 5	МГСН-Служба Недвижимости	После косметического ремонта .Комнаты изолированные Меблирована.В каждой комнате есть спальное место .Полы в комнатах ленолиум ,а на кухне плитка,Рассмотрят семью можно с детьми желательно славян.	http://www.cian.ru/rent/flat/34176337/
1	из 17	17		3 мин пешком	3	Москва	район Рязанский	Рязанский просп.	81/1	Москва, Рязанский просп., 81/1	32 000 руб./мес.	32000	комиссия 50%; без залога	2-комнатная	2	на длительный срок	45 м	45	2	кухня 6 м 2; жилая 20 м 2	6; 2; 20; 2	7 этаж из 12	7; 12	частный маклер	Рассматриваем Всх приличных можно две семьи	http://www.cian.ru/rent/flat/34264344/
1	из 4	4		10 мин пешком	10	Москва	район Кузьминки	ул. Федора Полетаева	38	Москва, ул. Федора Полетаева, 38	32 000 руб./мес.	32000	комиссия 50%; залог	2-комнатная	2	на длительный срок	45 м	45	2	кухня 7 м 2; жилая 30 м 2	7; 2; 30; 2	8 этаж из 9	8; 9	ID: 329257	Сдается квартира на длительный срок.Дом после капитального ремонта.В квартире косметический.Замена сан техники.Установлены окна ПВХ,застеклен балкон.Есть все необходимое для проживания.Кухонный гарнитур,необходимая мебель.Смотрите фото.К заселению готова,для лиц славянской внешности.Депозит разбивается.Дополнительно только свет,вода по счетчикам.Звоните 89256388993	http://www.cian.ru/rent/flat/34189164/
1	из 3	3		3 мин пешком	3	Москва	район Выхино-Жулебино	ул. Вострухина	6К1	Москва, ул. Вострухина, 6К1	32 000 руб./мес.	32000	комиссия 50%; залог	2-комнатная	2	на длительный срок	45 м	45	2	кухня 7 м 2; жилая 32 м 2	7; 2; 32; 2	3 этаж из 5	3; 5	ИстЛайн	Сдается квартира на длительный срок после косметического ремонта. Укомплектована всей необходимой мебелью и бытовой техникой. Кухонная мебель наборная. санузел разделен. Мет. дверь домофон. Рассмотрим всех приличных. Азию не предлагать.	http://www.cian.ru/rent/flat/33712313/
			Нет фото	10 мин пешком	10	Москва	район Рязанский	Окская ул.	44К1	Москва, Окская ул., 44К1	32 000 руб./мес.	32000	комиссия 50%; без залога	2-комнатная	2	на длительный срок	40 м	40	2	кухня 8 м 2; жилая 30 м 2	8; 2; 30; 2	6 этаж из 9	6; 9	Мой Дом	"Сдается срочно очень чистая, уютная меблированная квартира из серии ""заходи и живи"": два дивана, две стенки, стол, стулья, тумбочка с телевизором, кухонный гарнитур, холодильник, газовая плита. Стиральной машинки нет,если нужно приобрести - купят. Очень хороший ремонт. Новая сантехника. Новый линолеум. Прекрасные хозяева. Сдается только славянам на длительный срок."	http://www.cian.ru/rent/flat/34187182/
1	из 5	5		5 мин на транспорте	5	Москва	район Рязанский	ул. Михайлова	21	Москва, ул. Михайлова, 21	32 000 руб./мес.	32000	комиссия 50%; залог	2-комнатная	2	на длительный срок	43 м	43	2	кухня 6 м 2	6; 2	3 этаж из 5	3; 5	Миэль	Лот 31711. Косметич. ремонт. Современная мебель и бытовая техника. Гардеробная комната. Встроенные шкафы. Застеклённый балкон, стеклопакеты. Можно с детьми.	http://www.cian.ru/rent/flat/34103982/
			Нет фото	12 мин пешком	12	Москва	район Рязанский	ул. Академика Скрябина	20/1	Москва, ул. Академика Скрябина, 20/1	32 000 руб./мес.	32000	комиссия 50%; залог	2-комнатная	2	на длительный срок	45 м	45	2	кухня 6 м 2; жилая 31 м 2	6; 2; 31; 2	6 этаж из 9	6; 9	Мир столичной недвижимости	Не путайте в с другими вариантами.Сдается двухкомнатная квартира с изолированными комнатами. Пешая доступность от метро. Свежая косметика. Застекленный балкон. Окна ПВХ, пол паркет. В наличии стенка, большой диван, 2 кровати, шкаф, писм.стол, ТВ, холодильник и т.д. Славян.	http://www.cian.ru/rent/flat/28612168/
			Нет фото	4 мин пешком	4	Москва	район Выхино-Жулебино	ул. Вострухина	4к1	Москва, ул. Вострухина, 4к1	33 350 руб./мес.	33350	комиссия 20%; залог	2-комнатная	2	на длительный срок	44 м	44	2	кухня 7 м 2; жилая 30 м 2	7; 2; 30; 2	5 этаж из 5	5; 5	Центр Недвижимости +	Квартира чистая с мебелью 90-2000х годов вся бытовая техника. Депозит половина.	http://www.cian.ru/rent/flat/34027787/
1	из 8	8		4 мин пешком	4	Москва	район Выхино-Жулебино	ул. Вострухина	4к1	Москва, ул. Вострухина, 4к1	33 000 руб./мес.	33000	комиссия 15%; залог	2-комнатная	2	на длительный срок	45 м	45	2	кухня 7 м 2; жилая 30 м 2	7; 2; 30; 2	5 этаж из 5	5; 5	Виталий Зотов	Сдам квартиру 2-к квартира 45 м² на 5 этаже 5-этажного панельного дома, есть вся необходимая бытовая техника Плита, Микроволновка, Холодильник, Стиральная машина Можно с питомцами, Можно с детьми Уютная.тихая,не прокуренная квартира.Cпокойные соседи.Окна во двор. на детскую площадку.Минимум мебели,Шкафы под одежду и белье встроенные,большие антресоли. Залог 50%	http://www.cian.ru/rent/flat/34236197/
1	из 10	10		4 мин пешком	4	Москва	район Выхино-Жулебино	ул. Вострухина	4к1	Москва, ул. Вострухина, 4к1	33 000 руб./мес.	33000	комиссия 20%; залог	2-комнатная	2	на длительный срок	46 м	46	2	кухня 7 м 2; жилая 30 м 2	7; 2; 30; 2	5 этаж из 5	5; 5	На семи холмах	Комнаты изолированные,Чистая уютная квартира,мебель наборная,90-годов,холодильник-стиральная машина,телевизор,комод,шкаф,двухспальная кровать,также кровать полуторка,Квартира теплая,балкон-застеклен,с\у-раздельный-в плитке,Можно с детьми и животными,хорошие хозяева,Длительный срок,Депозит разбивается на три месяца,Срочно	http://www.cian.ru/rent/flat/34267787/
1	из 7	7		3 мин пешком	3	Москва	район Выхино-Жулебино	ул. Вострухина	4к1	Москва, ул. Вострухина, 4к1	33 000 руб./мес.	33000	комиссия 30%; залог	2-комнатная	2	на длительный срок	45 м	45	2	кухня 7 м 2; жилая 30 м 2	7; 2; 30; 2	5 этаж из 5	5; 5	ID: 8475736	Изолированные комнаты разд с/у мебель наборная современная техника балкон застеклен окна во двор семейным славянам можно с детьми и даже воспитанным питомцем депозит 50% - 16500р	http://www.cian.ru/rent/flat/34039454/
1	из 5	5		15 мин пешком	15	Москва	район Кузьминки	ул. Академика Скрябина	26К5	Москва, ул. Академика Скрябина, 26К5	33 000 руб./мес.	33000	комиссия 50%; залог	2-комнатная	2	на длительный срок	40 м	40	2	кухня 8 м 2; жилая 22 м 2	8; 2; 22; 2	7 этаж из 9	7; 9	частный маклер	Квартира с хорошим ремонтом. Укомплектована всей необходимой мебелью и бытовой техникой. Кухня встроенная под единой столешницей. Двухкамерный холодильник, СМА, СВЧ. СУС в плитке. Окна-ПВХ, балкон застеклен, пол-линолеум, мет.дверь, домофон, интернет. Сдается на длительный срок. Рассмотрим различный состав славян. Залог разобьем по договоренности на несколько месяцев.	http://www.cian.ru/rent/flat/33303636/
1	из 15	15		10 мин пешком	10	Москва	район Рязанский	Окская ул.	44К1	Москва, Окская ул., 44К1	33 000 руб./мес.	33000	комиссия 70%; залог	2-комнатная	2	на длительный срок	44 м	44	2	кухня 7 м 2; жилая 28 м 2	7; 2; 28; 2	4 этаж из 9	4; 9	частный маклер	Чистая, уютная квартира. Комнаты изолированные. Укомплектована всей необходимой для проживания мебелью и бытовой техникой. Сдается на длительный срок. Залог 10000. СЛАВЯН.	http://www.cian.ru/rent/flat/29471008/
1	из 10	10		4 мин пешком	4	Москва	район Рязанский	1-я Новокузьминская ул.	23К2	Москва, 1-я Новокузьминская ул., 23К2	33 000 руб./мес.	33000	комиссия 60%; залог	2-комнатная	2	на длительный срок	63 м	63	2	кухня 11 м 2; жилая 35 м 2	11; 2; 35; 2	3 этаж из 5	3; 5	ПОЛЕЗНАЯ ПЛОЩАДЬ	Сталинский дом. Кухонный гарнитур со всей бытовой техникой. Вся необходимая для проживания мебель (двуспальная кровать, 2 дивана, 2 шкафа), ТВ. Санузел раздельный. Застекленный балкон. Металлическая дверь, домофон. Славян	http://www.cian.ru/rent/flat/33494121/
1	из 8	8		15 мин пешком	15	Москва	район Рязанский	Луховицкая ул.	6	Москва, Луховицкая ул., 6	33 000 руб./мес.	33000	комиссия 50%; залог	2-комнатная	2	на длительный срок	43 м	43	2	кухня 6 м 2; жилая 31 м 2	6; 2; 31; 2	2 этаж из 5	2; 5	Елена Акинина	Квартира после ремонта: на окнах стеклопакеты,на полу паркет после реставрации.Комнаты смежные:двухспальная кровать, шкаф для одежды, телевизор.Возможно дооборудовать квартиру под клиента. Кухня:гарнитур, холодильник, стиральная машина. Санузел совмещен:	http://www.cian.ru/rent/flat/31220039/
			Нет фото	7 мин пешком	7	Москва	район Выхино-Жулебино	Ферганская ул.	1	Москва, Ферганская ул., 1	33 000 руб./мес.	33000	комиссия 50%; залог	2-комнатная	2	на длительный срок	45 м	45	2	кухня 7 м 2; жилая 30 м 2	7; 2; 30; 2	8 этаж из 12	8; 12	Галина Сушкова	РАБОТАЕМ ЧЕСТНО!!!Все сведения достоверны! Правила размещения объявлений СОБЛЮДЕНЫ!!! СДАМ 2Х-КОМН КВ. !!!ВЫХИНО! СРОЧНО!!! Комнаты изолированные. Ремонт свежий (косметика).Кухня -гарнитур, СМА, холодильник. Мебель -два шкафа, два дивана новые. СУР- плитка Рассмотрят СЛАВЯН состав обсуждается. ОПЛАТА УСЛУГ ПО ФАКТУ ЗАСЕЛЕНИЯ!	http://www.cian.ru/rent/flat/29867998/
			Нет фото	8 мин пешком	8	Москва	район Выхино-Жулебино	ул. Хлобыстова	12К2	Москва, ул. Хлобыстова, 12К2	33 000 руб./мес.	33000	комиссия 30%; без залога	2-комнатная	2	на длительный срок	54 м	54	2	кухня 9 м 2; жилая 34 м 2	9; 2; 34; 2	8 этаж из 12	8; 12	Nadezda	ул.Хлобыстова д.12.Отличная чистая квартира.Балкон застекленный.На кухне-гарнитур,холодильник,стиральная машинка.В 1 комнате-диван,шкаф.В другой-шкаф,2-х.спальная кровать.Славян	http://www.cian.ru/rent/flat/34158269/
			Нет фото	13 мин пешком	13	Москва	район Кузьминки	ул. Федора Полетаева	38	Москва, ул. Федора Полетаева, 38	33 000 руб./мес.	33000	комиссия 50%; без залога	2-комнатная	2	на длительный срок	45 м	45	2	кухня 8 м 2; жилая 28 м 2	8; 2; 28; 2	8 этаж из 9	8; 9	частный маклер	квартира после косметического ремонта, можно две семьи	http://www.cian.ru/rent/flat/34155362/
			Нет фото	5 мин на транспорте	5	Москва	район Рязанский	ул. Михайлова	5	Москва, ул. Михайлова, 5	34 000 руб./мес.	34000	комиссия 80%; залог	2-комнатная	2	на длительный срок	44 м	44	2	кухня 7 м 2; жилая 29 м 2	7; 2; 29; 2	2 этаж из 5	2; 5	ИНКОМ-Недвижимость / Аренда / Офис Академическое	Квартира после свежего капитального ремонта.Новый встроенный кухонный гарнитур, вся бытовая техника.Комнаты изолированные.Пол- ламинат.Стеклопакеты.Гостиная, спальня.Полностью меблирована современной мебелью.Металлическая дверь, домофон. ГАРАНТИЙНЫЙ ТАЛОН нанимателю при оплате 100%. ИНКОМ-Академическое. Номер лота: 2182383	http://www.cian.ru/rent/flat/34174777/
1	из 9	9		15 мин пешком	15	Москва	район Кузьминки	ул. Академика Скрябина	28К1	Москва, ул. Академика Скрябина, 28К1	35 000 руб./мес.	35000	комиссия 80%; залог	2-комнатная	2	на длительный срок	47 м	47	2	кухня 6 м 2; жилая 31 м 2	6; 2; 31; 2	2 этаж из 9	2; 9	ИНКОМ-Недвижимость / Аренда / Офис Арбатское	д.28. Квартира после свежего косметического ремонта. На кухне кухонный гарнитур со всей бытовой техникой. В комнате раскладной диван, два кресла ,трёхстворчатый шкаф.журнальный стол.В спальне диван,шкаф.В прихожей шкаф-купе.Развитая инфраструктура,удобная транспортная развязка. ИНКОМ-Арбатское. Номер лота: 1704599	http://www.cian.ru/rent/flat/30888473/
1	из 7	7		6 мин пешком	6	Москва	район Выхино-Жулебино	Рязанский просп.	95К1	Москва, Рязанский просп., 95К1	35 000 руб./мес.	35000	комиссия 50%; залог	2-комнатная	2	на длительный срок	47 м	47	2	кухня 12 м 2; жилая 30 м 2	12; 2; 30; 2	1 этаж из 12	1; 12	частный маклер	Сдается 2ком.кв. Рязанский проспект, 6-7мин.пеш., 1эт./12эт.дома, общ.47кв.м., 18+12см., кухня 12кв.м., после Евроремонта, приличная мебель, есть холодильник и стиральная машина. Сдается на длит.срок.Стоимость 35тыс.руб. Руслан.	http://www.cian.ru/rent/flat/30362027/
			Нет фото	13 мин пешком	13	Москва	район Рязанский	ул. Федора Полетаева	17К1	Москва, ул. Федора Полетаева, 17К1	35 000 руб./мес.	35000	комиссия 30%; залог	2-комнатная	2	на длительный срок	45 м	45	2	кухня 7 м 2; жилая 30 м 2	7; 2; 30; 2	9 этаж из 9	9; 9	частный маклер	Качественный ремонт. Комнаты смежные. Замена всей сантехники. Встроенная кухня, холодильник, СМА, пол плитка. Окна ПВХ. Гостиная ТВ, диван, стеночка. Спальный гарнитур, балкон застеклён. Вся мебель и техника новые, современные. Сдаётся на длительный срок. Депозит могут разбить.	http://www.cian.ru/rent/flat/34119037/
1	из 6	6		15 мин пешком	15	Москва	район Рязанский	Зарайская ул.	29	Москва, Зарайская ул., 29	35 000 руб./мес.	35000	комиссия 25%; залог	2-комнатная	2	на длительный срок	46 м	46	2	кухня 7 м 2; жилая 32 м 2	7; 2; 32; 2	4 этаж из 5	4; 5	Марк Андронов	Предлагается в аренду 2-х комнатная квартира со свежем евроремонтом. Балкон застекленный. Лифта нет.	http://www.cian.ru/rent/flat/34167759/
