"id","sid","2015-10-08 00:00:00","2015-10-08 00:10:00","2015-10-08 00:20:00","2015-10-08 00:30:00","2015-10-08 00:40:00","2015-10-08 00:50:00","2015-10-08 01:00:00","2015-10-08 01:10:00","2015-10-08 01:20:00","2015-10-08 01:30:00","2015-10-08 01:40:00","2015-10-08 01:50:00","2015-10-08 02:00:00","2015-10-08 02:10:00","2015-10-08 02:20:00","2015-10-08 02:30:00","2015-10-08 02:40:00","2015-10-08 02:50:00","2015-10-08 03:00:00","2015-10-08 03:10:00","2015-10-08 03:20:00","2015-10-08 03:30:00","2015-10-08 03:40:00","2015-10-08 03:50:00","2015-10-08 04:00:00","2015-10-08 04:10:00","2015-10-08 04:20:00","2015-10-08 04:30:00","2015-10-08 04:40:00","2015-10-08 04:50:00","2015-10-08 05:00:00","2015-10-08 05:10:00","2015-10-08 05:20:00","2015-10-08 05:30:00","2015-10-08 05:40:00","2015-10-08 05:50:00","2015-10-08 06:00:00","2015-10-08 06:10:00","2015-10-08 06:20:00","2015-10-08 06:30:00","2015-10-08 06:40:00","2015-10-08 06:50:00","2015-10-08 07:00:00","2015-10-08 07:10:00","2015-10-08 07:20:00","2015-10-08 07:30:00","2015-10-08 07:40:00","2015-10-08 07:50:00","2015-10-08 08:00:00","2015-10-08 08:10:00","2015-10-08 08:20:00","2015-10-08 08:30:00","2015-10-08 08:40:00","2015-10-08 08:50:00","2015-10-08 09:00:00","2015-10-08 09:10:00","2015-10-08 09:20:00","2015-10-08 09:30:00","2015-10-08 09:40:00","2015-10-08 09:50:00","2015-10-08 10:00:00","2015-10-08 10:10:00","2015-10-08 10:20:00","2015-10-08 10:30:00","2015-10-08 10:40:00","2015-10-08 10:50:00","2015-10-08 11:00:00","2015-10-08 11:10:00","2015-10-08 11:20:00","2015-10-08 11:30:00","2015-10-08 11:40:00","2015-10-08 11:50:00","2015-10-08 12:00:00","2015-10-08 12:10:00","2015-10-08 12:20:00","2015-10-08 12:30:00","2015-10-08 12:40:00","2015-10-08 12:50:00","2015-10-08 13:00:00","2015-10-08 13:10:00","2015-10-08 13:20:00","2015-10-08 13:30:00","2015-10-08 13:40:00","2015-10-08 13:50:00","2015-10-08 14:00:00","2015-10-08 14:10:00","2015-10-08 14:20:00","2015-10-08 14:30:00","2015-10-08 14:40:00","2015-10-08 14:50:00","2015-10-08 15:00:00","2015-10-08 15:10:00","2015-10-08 15:20:00","2015-10-08 15:30:00","2015-10-08 15:40:00","2015-10-08 15:50:00","2015-10-08 16:00:00","2015-10-08 16:10:00","2015-10-08 16:20:00","2015-10-08 16:30:00","2015-10-08 16:40:00","2015-10-08 16:50:00","2015-10-08 17:00:00","2015-10-08 17:10:00","2015-10-08 17:20:00","2015-10-08 17:30:00","2015-10-08 17:40:00","2015-10-08 17:50:00","2015-10-08 18:00:00","2015-10-08 18:10:00","2015-10-08 18:20:00","2015-10-08 18:30:00","2015-10-08 18:40:00","2015-10-08 18:50:00","2015-10-08 19:00:00","2015-10-08 19:10:00","2015-10-08 19:20:00","2015-10-08 19:30:00","2015-10-08 19:40:00","2015-10-08 19:50:00","2015-10-08 20:00:00","2015-10-08 20:10:00","2015-10-08 20:20:00","2015-10-08 20:30:00","2015-10-08 20:40:00","2015-10-08 20:50:00","2015-10-08 21:00:00","2015-10-08 21:10:00","2015-10-08 21:20:00","2015-10-08 21:30:00","2015-10-08 21:40:00","2015-10-08 21:50:00","2015-10-08 22:00:00","2015-10-08 22:10:00","2015-10-08 22:20:00","2015-10-08 22:30:00","2015-10-08 22:40:00","2015-10-08 22:50:00","2015-10-08 23:00:00","2015-10-08 23:10:00","2015-10-08 23:20:00","2015-10-08 23:30:00","2015-10-08 23:40:00","2015-10-08 23:50:00","2015-10-09 00:00:00"
"11",144,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,7,7,7,6,6,6,7,7,6,6,6,6,5,5,5,5,5,5,5,6,6,5,5,6,6,7,10,9,9,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,8,8,8,8,8,10,7,7,6,6,8,9,9,10,9,9,9,9,9,10,10,10
"12",146,9,10,8,10,7,7,6,6,6,6,7,6,5,5,1,0,0,1,0,0,1,0,0,0,0,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,5,5,5,4,4,4,4,4,4,3,5,9,16,16,19,26,30,29,25,21,19,17,18,17,18,19,20,21,21,20,21,21,21,22,22,23,24,24,27,27,27,29,30,28,30,31,31,31,31,32,34,34,35,36,34,34,35,33,35,33,34,32,30,27,22,22,16,12,10,6,9,3,5,6,6,12,15,12,12,11,12,10,14,12,10,9,9,8
"13",147,1,2,0,1,1,1,1,1,0,0,1,1,1,0,2,2,2,2,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,6,8,10,12,10,5,3,6,11,5,8,9,5,9,14,13,19,23,23,26,29,26,25,23,24,23,25,26,26,26,28,30,30,24,22,21,24,24,25,25,27,28,26,27,27,28,30,28,29,29,28,29,29,29,28,28,29,28,26,26,25,29,29,28,29,26,29,29,28,28,25,26,24,20,21,16,13,11,8,6,0
"14",150,16,20,20,24,27,27,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,18,18,18,19,19,19,19,19,19,19,18,17,17,17,17,17,17,16,15,15,14,12,10,10,7,5,5,4,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,3,5,6,7,6,6,6,9,7,5,6,9,15,16,19,26,25,27,27,29,30,30,28
"15",151,5,4,2,2,6,3,1,0,1,0,1,2,1,1,0,0,2,2,3,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,2,2,2,2,2,2,1,1,1,0,0,0,1,1,1,1,1,2,2,3,3,2,3,3,2,3,4,5,6,0,0,2,6,1,5,5,3,5,8,10,13,15,19,21,25,29,32,32,30,29,30,27,32,32,32,29,30,25,26,28,30,29,28,30,28,31,28,24,24,21,21,19,20,21,22,26,31,31,28,30,26,24,27,28,23,20,21,18,17,18,16,19,18,24,21,19,17,12,7,10,1
"16",152,18,16,15,12,9,6,5,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,1,1,0,2,2,1,2,2,2,5,6,5,9,10,9,9,6,10,10,11,11,12,12,14,14,13,13,13,13,13,12,11,11,11,12,12,13,15,13,13,13,13,12,13,13,13,14,14,15,14,14,13,15,18,19,19,19,20,20,19,19,20,20,21,21,22,22,21,22,25,23,21,21,19,18,15,16,17,13,13,12,11
"17",157,21,22,22,22,22,22,21,22,22,22,22,22,21,21,21,21,21,21,20,20,19,20,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,16,16,16,14,14,14,15,15,15,12,11,10,10,9,7,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,4,4,8,6,5,5,5,6,7,7,4,4,3,3,3,6,8,9,9,9,11,13,16,16,16,15,16,17,19,19,20,20
"18",160,0,1,1,0,1,0,1,2,3,3,2,2,2,2,0,0,0,0,0,1,1,1,1,2,2,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,3,3,1,1,0,0,0,0,1,2,2,2,3,3,3,1,2,1,1,1,2,0,0,0,0,0,0,1,2,2,4,2,3,3,1,3,2,2,5,5,4,5,5,4,6,5,5,6,5,7,8,3,0,0,0,0,4,4,1,2,1,1,0,2,0,1
"19",161,26,24,23,21,20,20,20,19,14,14,16,11,13,8,6,5,1,0,1,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,5,7,7,13,14,20,20,27,30,27,31,33,34,33,34,34,32,33,33,33,34,32,33,33,30,34,31,34,34,33,34,34,34,34,31,32,31,29,32,34,33,34,33,30,29,33,34,34,33,31,31,31,32,32,32,30,30,28,26,29,27,28,33,33,32,33,32,33,31,33,32
"20",164,0,2,0,0,0,1,1,0,0,0,1,2,2,2,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,1,1,0,0,0,2,6,6,7,12,27,39,43,45,46,46,45,46,45,46,46,46,46,45,43,41,39,39,39,40,40,40,39,39,39,39,38,38,39,40,40,40,40,42,42,40,40,40,40,40,40,41,41,40,40,40,39,39,34,30,26,20,14,13,12,12,11,3,1,0,0,2,3,0,1,1,0,0
"21",167,0,0,0,1,2,1,1,1,1,2,3,4,3,3,2,2,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,0,4,4,4,5,5,10,9,11,18,20,23,19,24,27,28,32,31,29,29,30,29,30,33,33,33,33,31,31,33,34,37,37,37,36,37,38,38,37,40,41,39,37,37,35,35,32,34,30,31,32,32,32,29,28,25,27,27,26,25,21,10,9,5,6,1,1,0,0,0,0,0,1,0,0,0,0
"22",168,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,12,13,15,14,15,16,16,16,13,11,12,13,10,7,8,14,18,24,32,31,30,34,37,40,44,41,41,41,43,44,44,43,42,41,39,37,38,41,42,43,44,43,44,43,43,41,42,45,43,42,42,39,39,44,45,45,44,45,45,42,41,43,38,36,34,32,29,24,25,22,21,24,19,14,12,11,6,3,1,0,0,3,6,2
"23",174,4,3,3,1,4,3,5,4,2,4,7,9,12,16,18,20,19,22,22,24,24,27,29,29,29,29,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,28,28,28,28,28,28,28,28,28,28,28,28,27,27,25,23,22,22,20,20,20,17,18,14,13,13,12,8,6,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,3,2,1,3,2,4,2,3,5,4,4,4,6,5,6,6,2,0,0,1,1,0,0,1,2,3,2,2,4,4,5,4,3,3,2,2,1,2,4,3
"24",195,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,7,6,7,8,10,11,12,13,13,13,15,18,22,19,20,23,25,29,27,27,27,29,27,27,27,29,29,28,28,29,29,27,30,32,30,31,31,31,29,29,28,29,29,27,29,24,25,25,24,22,25,25,22,21,21,21,18,14,15,16,17,16,13,6,1,1,1,0,1,0,2,2,0,0,0,1,2,1,0
"25",212,9,7,3,2,1,0,2,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,3,4,5,6,5,3,5,4,8,10,16,20,23,26,26,25,26,24,25,26,26,25,25,23,25,24,25,26,26,25,25,23,22,23,24,24,24,24,24,24,26,25,26,25,23,26,26,25,23,23,25,24,26,26,24,24,24,25,24,25,23,20,16,13,14,11,15,13,13,14,14,15,10,10,6,6
"26",216,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,12,12,11,11,11,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,7,5,5,5,6,5,7,7,8,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,2,2,4,4,4,4,7,7,7,7,7,5,5,5,4
"27",217,23,23,23,23,16,14,14,14,14,13,12,12,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,15,15,15,15,15,15,13,14,14,14,15,16,17,17,17,17,18,17,17,17,20,20,22,22,21,21,17,18,20,20,20,20,22,19,19,17,16,16,14,15,15,17,17,16,14,14,15,14,11,11,10,9,9,10,9,9,7,4,2,3,4,4,2,4,4,5,3,4,5,5,5,4,4,7,7
"28",218,29,29,29,29,29,29,26,27,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,24,24,23,23,23,24,23,21,21,20,22,22,22,23,22,22,22,22,21,21,21,20,20,20,21,21,21,21,21,21,21,21,22,21,21,21,21,21,21,21,21,21,21,20,20,20,20,19,19,19,19,19,19,21,21,22,22,21,21,19,18,18,17,17,17,16,16,18,18,18,18,18,18
"29",223,28,28,26,26,25,25,26,27,28,26,27,27,24,26,24,26,26,26,25,25,25,25,26,26,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,28,28,29,29,29,30,29,28,28,28,30,30,28,30,30,30,29,29,28,28,24,22,21,15,13,12,12,13,13,12,12,13,13,13,12,16,14,19,22,21,21,21,23,21,21,19,20,20,19,19,19,17,16,17,17,19,22,21,20,19,17,15,13,12,14,15,18,16,16,18,21,20,26,27,29,31,28,31,29,28,31,32,32,30,31,30,29
"30",224,0,0,0,0,0,1,2,2,1,1,4,3,3,3,3,3,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,5,5,6,5,4,6,4,2,4,6,12,11,13,15,14,14,15,14,14,16,16,14,14,14,12,13,13,14,12,13,13,13,18,17,19,18,17,18,15,14,13,13,14,14,17,22,23,23,22,21,22,22,21,20,22,20,21,21,19,16,15,13,12,13,11,11,10,10,7,4,2,2,2,1,1,2,3
"31",225,11,10,10,9,9,6,4,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,6,6,7,10,14,16,21,22,24,26,27,27,28,28,27,28,28,28,30,28,30,33,33,28,32,32,32,32,31,32,32,36,36,36,36,36,36,36,36,36,36,36,36,36,35,36,36,34,34,35,35,36,35,34,36,32,32,30,30,23,25,20,18,18,20,21,19,18,16,17,18
"32",228,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,3,3,3,4,6,5,5,8,17,28,37,47,50,52,53,52,52,53,52,51,52,52,52,52,52,52,52,51,51,50,51,52,52,52,49,49,52,49,50,51,52,52,52,51,51,51,51,51,51,51,51,50,50,47,46,45,40,36,33,34,34,32,28,24,17,7,8,4,5,1,0,1,0,0,0,2,0,0,0,1,0
"33",229,0,1,0,0,1,1,2,0,0,0,2,1,0,2,3,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,3,3,3,3,2,2,3,4,4,3,1,1,5,5,10,11,15,20,20,22,22,22,22,22,22,22,22,22,21,21,22,20,22,21,22,22,21,22,21,23,22,21,22,22,21,22,22,23,22,22,22,22,22,22,23,20,23,23,23,23,22,23,21,22,23,23,21,19,19,16,19,21,23,22,23,21,23,21,23,23,22,23,18,21,20,23
"34",232,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,6,6,6,6,6,6,8,8,8,8,8,5,5,5,5,5,7,7,4,4,4,4,5,6,6,6,7,10,15,15,13,13,13,14,14,14,14,14,14,13,15,14,13,14,14,14,14,13,12,11,9,15,14,14,15,14,14,14,14
